,,W0,W1,W2
F0,S122,2.1460004238571426e-05,6.159414824598584e-07,2.83070307021127e-08
F0,S123,1.1185712194402964e-05,7.026423658759106e-07,2.5675202986822717e-08
F0,S124,1.1196228009517004e-05,5.834000425891586e-07,2.3097982669436284e-08
F0,S125,1.5645361629866243e-05,5.712872342106223e-07,2.2084009384282643e-08
F0,S126,1.446953506154318e-05,6.103807620024654e-07,2.4202438057047068e-08
F0,S127,1.085501300294445e-05,5.839288727859892e-07,2.2763879883091738e-08
F0,S128,1.0804355481169896e-05,6.631080921364026e-07,2.3759208649446192e-08
F0,S129,8.83474239025101e-06,5.746657564654794e-07,2.2551974219063725e-08
F0,S130,4.573624779770887,6.991205950254401e-07,3.913651123145661e-08
F0,S131,1.0695531184891518e-05,6.757341556936404e-07,2.387863118223688e-08
F0,S132,9.248583049018312e-06,6.637084548731829e-07,2.4766151029141527e-08
F0,S133,1.243876552117275e-05,5.690147475243661e-07,2.2235493508465952e-08
F0,S134,1.2240611363234419e-05,6.294700941626491e-07,2.5185113366701368e-08
F0,S135,1.1527545737346217e-05,6.495420892169003e-07,2.3622988826572915e-08
F0,S136,1.0742944815446017e-05,5.910642845996333e-07,2.2381636980476372e-08
F0,S137,9.224005946344903e-06,6.250005350020478e-07,2.303363158423223e-08
F0,S138,2.44716252282585e-05,1.7273452246076884,5.365173237911124
F0,S139,1.8533121926648367e-05,6.309984647449548e-07,2.596764276772924e-08
F0,S140,1.9321672313961637e-05,7.83541147886427e-07,3.8300585526701276e-08
F0,S141,1.6308221893682106e-05,5.626080486895062e-07,2.2141784045782946e-08
F0,S142,1.3246219559445696e-05,6.884809407888688e-07,2.36209016425926e-08
F0,S143,9.421380834180662e-06,5.975729710730431e-07,2.2683650525593848e-08
F0,S144,1.7434305403157102e-05,5.829905821601974e-07,2.19527601500262e-08
F0,S145,1.4239489826169318e-05,5.88888959435994e-07,2.316743194493879e-08
F0,S146,8.817307609563873e-06,5.968827117614606e-07,2.349722268396214e-08
F0,S147,9.458458378631326e-06,8.09155679966503e-07,2.4591825227499467e-08
F0,S148,1.3601579273712205e-05,6.524582364111418e-07,2.396193142353773e-08
F0,S149,1.0343516115209848e-05,6.154648643994779e-07,2.411925121953245e-08
F0,S150,1.885051685301282e-05,6.278758230132411e-07,2.3102092363454036e-08
F0,S151,1.0454326605192427e-05,5.748265329797432e-07,2.2579578635428585e-08
F0,S152,1.4841115153086953e-05,6.332446136641371e-07,2.5397736749338912e-08
F0,S153,1.0999296024244582e-05,6.520654824562277e-07,2.3244903356560107e-08
F0,S154,8.547185063006011e-06,7.837923579241568e-07,2.4792135433806688e-08
F0,S155,1.0485302837516298e-05,5.892563378711382e-07,2.2568237452347487e-08
F0,S156,1.4687764273976608e-05,6.188462207469841e-07,2.3076089921847072e-08
F0,S157,1.3645856597723508e-05,6.074878199781827e-07,2.3088210507475027e-08
F0,S158,4.971027033993527,9.34887023904608e-07,1.236548086356393e-07
F0,S159,2.5915327848527984e-05,6.598630198147264e-07,4.347034900616938e-08
F0,S160,1.531309223604261e-05,5.724843896479085e-07,2.1935861373973137e-08
F0,S161,8.850331930594574e-06,5.827525349754646e-07,2.2640293832159707e-08
F0,S162,3.0299274097357068e-05,8.757312183176023e-07,1.000027000093641e-07
F0,S163,2.438911018913731e-05,2.2701721742069805,5.1984026337796e-08
F0,S164,2.2488215050894276e-05,5.943983831844818e-07,2.6311855341452333e-08
F0,S165,1.8752120612034614e-05,5.95201225420959e-07,2.4185277380471057e-08
F0,S166,1.1154472393079232e-05,5.720054326120098e-07,2.225028710845294e-08
F0,S167,1.9826781832815007e-05,6.556698502343515e-07,2.9586365734494193e-08
F0,S168,1.47485508690697e-05,5.681483528839208e-07,2.205768470944727e-08
F0,S169,1.1231780445467927e-05,5.979110152094561e-07,2.311992006900116e-08
F0,S170,9.466212818269479e-06,5.721589811497089e-07,2.2518101280660002e-08
F0,S171,1.5906051467130704e-05,6.013853946486357e-07,2.3883258138458125e-08
F0,S172,1.3187819399938844e-05,6.428301908383314e-07,2.329957838389133e-08
F0,S173,2.291027716232487,2.0546443407924375e-06,5.051695206205666
F0,S174,8.615158334209213e-06,1.4427271598167203e-06,3.2085786359082874e-08
F0,S175,2.56996020252326e-05,8.101832161764638e-07,4.286032706385381e-08
F0,S176,1.5945375674978854e-05,5.669751657833649e-07,2.2161274022320364e-08
F0,S177,9.569456566988312e-06,6.924009985228486e-07,2.325519766029829e-08
F0,S178,1.2202860472329734e-05,7.764899778682223e-07,2.621766433325784e-08
F0,S179,2.3820379563343923e-05,7.404124046321257e-07,2.56166587497777e-08
F0,S180,2.2584483735963252e-05,8.3460089253535e-07,9.11085683317194e-08
F0,S181,1.0344865784794985e-05,6.121068898807124e-07,2.2695415572319667e-08
F0,S182,1.636360546464868e-05,5.951063200000403e-07,2.2062586978228234e-08
F0,S183,1.1918941990330802e-05,5.866162846106343e-07,2.2267141133107703e-08
F0,S184,2.094401781556706e-05,9.773837869369692e-07,2.6679891977641268e-08
F0,S185,1.2758743309060514e-05,6.113435068369264e-07,2.2492183569908863e-08
F0,S186,1.7415552681725586e-05,5.813410285955679e-07,2.2191867153600367e-08
F0,S187,9.280197916448566e-06,5.912973366168372e-07,2.2604705776926546e-08
F0,S188,4.604674713714059,6.300989612024536e-07,4.125391431841135e-08
F0,S189,2.2607145211105397e-05,7.071633057293576e-07,2.6054117021185287e-08
F0,S190,9.119030522109585e-06,6.274116724587618e-07,2.29939904908416e-08
F0,S191,1.477562962736626e-05,6.070029920203071e-07,2.3979206266739055e-08
F0,S192,8.550907280350212e-06,1.1940085206636138e-06,2.889146368520873e-08
F0,S193,1.590519956625774e-05,5.686558857334998e-07,2.180792921309756e-08
F0,S194,2.4322075209554054e-05,6.378341298892566e-07,2.502751925586321e-08
F0,S195,9.102843406410328e-06,9.541468477466165e-07,2.830316740658542e-08
F0,S196,1.1061055060511033e-05,6.427956963134621e-07,2.2620042847178746e-08
F0,S197,2.5201322372031533e-05,6.736200882441953e-07,2.5581021666551107e-08
F0,S198,2.386663767599422e-05,8.903568637222088e-07,2.9833585882042014e-08
F0,S199,9.354115942785733e-06,6.115344589267725e-07,2.3592162924266952e-08
F0,S200,1.2139193729983473e-05,5.884709049323473e-07,2.253779555901788e-08
F0,S201,8.53674663422847e-06,6.988268027876411e-07,2.347580444190422e-08
F0,S202,2.4250906466802786e-05,6.457234267606682e-07,2.6174625395077945e-08
F0,S203,2.5171605815288197e-05,5.498662655348507e-07,2.1510286916336598e-08
F0,S204,9.875295183210558e-06,6.450684625689084e-07,2.3252460590140715e-08
F0,S205,1.8662492645468828e-05,6.262695322311238e-07,2.3016836501503245e-08
F0,S206,1.890906329101913e-05,6.62464819698608e-07,2.8021936365283703e-08
F0,S207,1.0003147697224846e-05,5.726554279996803e-07,2.271746240595946e-08
F0,S208,2.0591599256009808e-05,6.765617449373682e-07,2.4288472878692276e-08
F0,S209,1.868242251145787e-05,7.117156487281969e-07,2.7719085385200216e-08
F0,S210,8.797989130186642e-06,5.914884140933864e-07,2.2386969088632767e-08
F0,S211,8.643168048589933e-06,6.263993982632234e-07,2.372098084949452e-08
F0,S212,1.6324148907552672e-05,6.192052537021196e-07,2.3258676854673088e-08
F0,S213,1.5798389155629793e-05,6.587363770019039e-07,2.3782634510045215e-08
F0,S214,1.2831762067594155e-05,5.846329450598007e-07,2.276059718527201e-08
F0,S215,1.6671183055136123e-05,6.628940634352572e-07,2.4555114235407983e-08
F0,S216,0.00010701488703429526,8.507430530407906e-07,1.8623036386333797e-07
F0,S217,1.8466432338048624e-05,5.691151093126162e-07,2.201138237310248e-08
F0,S218,9.115640529156772e-06,6.088720818076444e-07,2.3239911480971678e-08
F0,S219,9.915724923241302e-06,5.716931441859364e-07,2.2137032641629832e-08
F0,S220,1.807934554016465e-05,1.0038822916693107e-06,2.6276891093367743e-08
F0,S221,1.1215590914822079e-05,6.039040392457164e-07,2.2885463032744297e-08
F0,S222,2.5493091368467372e-05,8.082733152020296e-07,3.564919833706843e-08
F0,S223,1.6100998551716423e-05,6.25213165507198e-07,2.2245182152605162e-08
F0,S224,1.3305788074442349e-05,5.827450784135436e-07,2.2352164068391392e-08
F0,S225,1.0016674972871288e-05,5.913077454264853e-07,2.237970571583013e-08
F0,S226,1.7714611209880993e-05,6.470211384141157e-07,2.4589138266762763e-08
F0,S227,9.14588060617229e-06,6.149836807819657e-07,2.271186446211492e-08
F0,S228,2.271261430460192e-05,6.37627579801684e-07,2.8251745180245334e-08
F0,S229,1.47833974830508e-05,5.861167011465543e-07,2.2264730850992576e-08
F0,S230,1.8574200945366766e-05,5.554884174488039e-07,2.174838133069625e-08
F0,S231,11.942227749363115,14.494575694996753,9.491549576780349
F0,S232,8.883508832195718e-06,6.118765112510189e-07,2.2822082648266264e-08
F0,S233,1.1154492044835512e-05,5.782099875909957e-07,2.1932102135142744e-08
F0,S234,2.531318781591039e-05,7.774382549966455e-07,2.9486954699454033e-08
F0,S235,1.1345971308629295e-05,6.721365066958729e-07,2.4106554354474982e-08
F0,S236,1.7422810702226996e-05,6.817634509332029e-07,3.8898470354435854e-08
F0,S237,2.1119625838586496e-05,8.877629612943499e-07,2.5741832673920952e-08
F0,S238,8.979790278673383e-06,5.881253327800913e-07,2.251041999575952e-08
F0,S239,1.783977200540457e-05,5.834811177123264e-07,2.211727951331343e-08
F0,S240,1.6533373195634693e-05,6.75278300618488e-07,2.5130021901886087e-08
F0,S241,2.632953131320468e-05,6.19612471876133e-07,2.431304804154705e-08
F0,S242,1.5505197499105867e-05,6.021843680292549e-07,2.2162178605027466e-08
F0,S243,8.537077222682909e-06,5.890713638615717e-07,2.292474120927332e-08
F0,S244,1.6726806062232978e-05,5.688250945833079e-07,2.201222905192521e-08
F0,S245,1.0068764932394447e-05,6.176936474024683e-07,2.287630124574433e-08
F0,S246,2.3539733455332442e-05,6.763504846640091e-07,5.013546828400064e-08
F0,S247,1.196181219720813e-05,5.859347466522054e-07,2.228985042606513e-08
F0,S248,1.2897102120262393e-05,6.138414268544867e-07,2.3344443049756892e-08
F0,S249,1.5236463857477842e-05,5.834779198399082e-07,2.237670759531003e-08
F0,S250,1.2596475360650293e-05,6.553213624227812e-07,2.572383349724124e-08
F0,S251,1.9340415503940093e-05,7.621913945477351e-07,3.4295814225345345e-08
F0,S252,9.656199015505183e-06,5.724312444596947e-07,2.2157127263881665e-08
F0,S253,2.3794356821162444e-05,8.175582678073359e-07,3.4963031008100805e-08
F0,S254,1.0694925020412818e-05,6.146937953277241e-07,2.2728190737802895e-08
F0,S255,2.789369428737129e-05,5.476801060832654e-07,2.141513811297658e-08
F0,S256,1.7874086241962646e-05,8.325082723597201e-07,2.6293469514316096e-08
F0,S257,2.3834615052288003e-05,6.124566059508872e-07,2.53414577405217e-08
F0,S258,9.518956848133256e-06,6.762602685091661e-07,2.332168911002959e-08
F0,S259,1.1867962591431778e-05,5.703611643572514e-07,2.1927577277991118e-08
F0,S260,1.4646744770227686e-05,5.68644552697329e-07,2.2125055232472403e-08
F0,S261,2.3394272873103392e-05,6.717077319077234e-07,2.832002448603452e-08
F0,S262,2.5983446408715608e-05,4.0481489775028084e-06,4.445206338432311e-08
F0,S263,1.807382814852004e-05,6.369487680090458e-07,2.596394009774392e-08
F0,S264,1.9447386993315854e-05,6.335926629999657e-07,2.3921228281824868e-08
F0,S265,2.308739511363784e-05,9.188319338861869e-07,2.753162582912289e-08
F0,S266,2.4963304497311278e-05,6.607768570417367e-07,2.5723010642439264e-08
F0,S267,9.371845774809586e-06,5.856743004955649e-07,2.342688955465112e-08
F0,S268,1.5146406859915728e-05,5.756627784978033e-07,2.2778197373973666e-08
F0,S269,8.54218684464062e-06,6.22230189166347e-07,2.3560397532174748e-08
F0,S270,9.067720156689927e-06,5.923263940434706e-07,2.2960569578336704e-08
F0,S271,9.82674710011635e-06,5.926034678470453e-07,2.3592141051589944e-08
F0,S272,1.030205326393224e-05,6.033411812024797e-07,2.3099005092232374e-08
F0,S273,1.561443332212045e-05,6.25148056182715e-07,2.4529703369729478e-08
F0,S274,1.2227907777748958e-05,5.981109175570676e-07,2.2335008716934844e-08
F0,S275,8.950773032480527e-06,5.82998424546346e-07,2.2844916766495212e-08
F0,S276,9.307383814350113e-06,5.87581392939961e-07,2.2428535030477747e-08
F0,S277,2.230261258984185e-05,6.743252905532627e-07,2.912340385854959e-08
F0,S278,9.614121511762286e-06,7.21718643106927e-07,2.4804999693394044e-08
F0,S279,9.078574620094903e-06,6.098412774494141e-07,2.3516545322063892e-08
F0,S280,1.568303048903243e-05,5.781697706054337e-07,2.233089515539808e-08
F0,S281,1.0101688389285117e-05,5.85557385328661e-07,2.1963519106147727e-08
F0,S282,2.0395155740393398e-05,6.526965034084764e-07,2.4384969952544926e-08
F0,S283,8.560416029511349e-06,5.976347572938263e-07,2.252683137541265e-08
F0,S284,8.677730227719362e-06,5.935259377955277e-07,2.2672368356673012e-08
F0,S285,1.3491609680985475e-05,6.217557759790164e-07,2.3890422874534462e-08
F0,S286,2.325966244872449e-05,5.48661937328165,3.855929541771817e-08
F0,S287,2.1045744865974496e-05,6.020841398759543e-07,2.207347684270824e-08
F0,S288,1.533144106412218e-05,7.100231178541175e-07,2.7149557034020608e-08
F0,S289,1.876729694946061e-05,5.980031103656165e-07,2.3518108088393345e-08
F0,S290,1.430490879151669e-05,6.012102772134197e-07,2.262353137718253e-08
F0,S291,1.1025459449358506e-05,5.901489672611748e-07,2.260861004121557e-08
F0,S292,1.3686766849332892e-05,5.887255011842867e-07,2.237630801064346e-08
F0,S293,1.6740745576888282e-05,3.968277717219168e-06,5.673722459916538e-08
F0,S294,1.2846115304490045e-05,6.909369888361432e-07,2.3680637456962012e-08
F0,S295,1.3743900213792346e-05,5.816013792511521e-07,2.233112674359542e-08
F0,S296,1.0018493915181332e-05,8.124932852476984e-07,2.651094708548756e-08
F0,S297,1.1362129940372646e-05,6.500927335478203e-07,2.461708198359816e-08
F0,S298,1.5238510956728524e-05,5.73322424698265e-07,2.1958789653444282e-08
F0,S299,9.750194914288697e-06,6.001611654172707e-07,2.2939991990557862e-08
F0,S300,1.4349760375932763e-05,7.368239012080589e-07,2.6794805919685716e-08
F0,S301,1.1496983146927431e-05,5.709253150939925e-07,2.229105611074796e-08
F0,S302,1.0431885630187114e-05,6.295779692999525e-07,2.286090157965152e-08
F0,S303,1.8831637413618052e-05,6.076381852734125e-07,2.4949036870906742e-08
F0,S304,9.944973166030884e-06,6.021880798004435e-07,2.2764418046065257e-08
F0,S305,9.347315640664278e-06,5.685016823986215e-07,2.2432913465519916e-08
F0,S306,9.763337744513442e-06,5.757778279232663e-07,2.2314300774706928e-08
F0,S307,2.2774550361972547e-05,6.102696917814199e-07,2.7977446425830197e-08
F0,S308,1.4752252588467065e-05,6.094268203141821e-07,2.2684971880454497e-08
F0,S309,1.2094941305771395e-05,5.761617079560387e-07,2.2132467943468286e-08
F0,S310,1.852480727035912e-05,7.770440580671373e-07,2.670121385755129e-08
F0,S311,9.15583985607356e-06,6.044757560818605e-07,2.2966270958762064e-08
F0,S312,1.0580063335591504e-05,6.064524774074737e-07,2.312665117325901e-08
F0,S313,1.1393035973341608e-05,6.278348364173067e-07,2.3320653316448008e-08
F0,S314,2.4576146051017214e-05,2.7707843944916282e-06,1.5725018908452495
F0,S315,1.049533019049376e-05,5.947189084040791e-07,2.25099287689814e-08
F0,S316,9.530113123947306e-06,5.924000380928608e-07,2.2759518937953482e-08
F0,S317,8.635523356647573e-06,6.124957780115945e-07,2.3534351581147012e-08
F0,S318,1.0575074359685543e-05,5.849319907055753e-07,2.2427893355589516e-08
F0,S319,2.2130303212534978e-05,7.119942304539477e-07,3.0085670437061016e-08
F0,S320,9.750007049480064e-06,6.001136512569958e-07,2.2728351329873576e-08
F0,S321,1.3864661308714566e-05,7.824068039864853e-07,2.516592355226374e-08
F0,S322,1.5264735860629614e-05,6.076734827206615e-07,2.4177342981523937e-08
F0,S323,1.583941052572592e-05,6.985585863271641e-07,2.5207800611237582e-08
F0,S324,1.353786787113009e-05,6.412261396356296e-07,2.472178759626737e-08
F0,S325,1.1490796665476005e-05,5.906173854687911e-07,2.248720606081948e-08
F0,S326,2.300307444072273e-05,7.646920153994515e-07,2.833666226408128e-08
F0,S327,1.1299541791388256e-05,6.060468985181887e-07,2.3849127271087288e-08
F0,S328,1.5614739076816267e-05,5.663928976307211e-07,2.219037594528751e-08
F0,S329,8.49873305697401e-06,6.331641440931034e-07,2.2954224379826984e-08
F0,S330,2.1043576815280034e-05,1.1575420958613928e-06,4.4031548379868815
F0,S331,9.633929654890505e-06,6.669960620433339e-07,2.402260098563244e-08
F0,S332,2.0519658556454694e-05,6.124149314377205e-07,2.5864701986054342e-08
F0,S333,9.14871406753508e-06,8.531727543369332e-07,2.9333072759039755e-08
F0,S334,1.1632551974243615e-05,7.18767305180713e-07,2.4660902170378633e-08
F0,S335,1.4938584468717627e-05,4.376834570039862,7.763584893330695e-07
F0,S336,9.080135961322087e-06,6.490613387699226e-07,2.301950574076725e-08
F0,S337,9.1415188567555e-06,7.400026335381843e-07,2.438390528805871e-08
F0,S338,1.322684521508954e-05,5.919361353390946e-07,2.2011905419485733e-08
F0,S339,1.5702658080240962e-05,5.691822787117411e-07,2.1996506161609376e-08
F0,S340,1.6785252880399142e-05,6.855465979388699e-07,2.3727716469506026e-08
F0,S341,1.2126309692240386e-05,6.367741430799885e-07,2.327406317123457e-08
F0,S342,1.1349063676208162e-05,5.797233522006121e-07,2.277001340236678e-08
F0,S343,1.0706343433707124e-05,6.067851669426428e-07,2.3179894854436583e-08
F0,S344,1.3858807995652204e-05,7.235667029052374e-07,2.8372508358112246e-08
F0,S345,1.2675728959837962e-05,5.885111121436636e-07,2.2369478521866068e-08
F0,S346,9.75439646138711e-06,5.840140368297479e-07,2.2305208194140044e-08
F0,S347,7.788527157995747,1.5593785435412418e-06,7.924203071122689e-07
F0,S348,1.0001291789893186e-05,6.960897504455556e-07,2.3466431711863233e-08
