,Environment,alpha
W74,Site 1,0.9077724370015032
W75,Site 1,0.17160532407608842
W76,Site 1,0.6654891464682517
W77,Site 1,0.2569455504899797
W78,Site 1,0.5265296227879569
W79,Site 1,0.12064013291343822
W80,Site 1,0.027316371122541597
W81,Site 1,0.2802282822532597
W82,Site 1,0.10297892689201016
W83,Site 1,0.045821321514193936
W84,Site 1,0.9601249008054312
W85,Site 1,0.703005061717919
W86,Site 1,0.6918956671285283
W87,Site 1,0.6044535732257638
W88,Site 1,0.14646342456664851
W89,Site 1,0.9583567948282165
W90,Site 1,0.4654845315412776
W91,Site 1,0.8602331987378012
W92,Site 1,0.3566465884133595
W93,Site 1,0.6098173741790133
W94,Site 1,0.9747801169755328
W95,Site 1,0.9007850365648312
W96,Site 1,0.4895310977941452
W97,Site 1,0.2761382986901025
W98,Site 1,0.2117990858583597
W99,Site 1,0.9746040949373698
W100,Site 1,0.3954973102491621
W101,Site 1,0.8268182973610947
W102,Site 1,0.9026327150242788
W103,Site 1,0.2275093134304973
W104,Site 1,0.5095432710221628
W105,Site 1,0.3201029223022396
W106,Site 1,0.9672204441435056
W107,Site 1,0.8133855395535391
W108,Site 1,0.37255520397243735
W109,Site 1,0.4911168175910613
W110,Site 1,0.934616396750386
W111,Site 1,0.4383864341857157
W112,Site 1,0.4917885101447945
W113,Site 1,0.4230397259290709
W114,Site 1,0.4114786485535746
W115,Site 1,0.8563319466377692
W116,Site 1,0.23870849723777496
W117,Site 1,0.8216216843949851
W118,Site 1,0.14303862633893927
W119,Site 1,0.1432166034384441
W120,Site 1,0.2882565014566917
W121,Site 1,0.1658061379290906
W122,Site 1,0.3821516421080104
W123,Site 1,0.11185065295194707
W124,Site 1,0.9795688794342758
W125,Site 1,0.19436224362876675
W126,Site 1,0.5954036735396048
W127,Site 1,0.052900448798406496
W128,Site 1,0.5326754159147155
W129,Site 1,0.24863839864248805
W130,Site 1,0.3004787431749848
W131,Site 1,0.16560531143283266
W132,Site 1,0.09607783155794236
W133,Site 1,0.6358658083213303
W134,Site 1,0.1603025026778544
W135,Site 1,0.7412414496663594
W136,Site 1,0.4227069008212613
W137,Site 1,0.8495211584821741
W138,Site 1,0.09379166826154872
W139,Site 1,0.18962028841207745
W140,Site 1,0.6255240145598296
W141,Site 1,0.2504841839970179
W142,Site 1,0.9566882192043472
W143,Site 1,0.5676684928862499
W144,Site 1,0.026859292033994956
W145,Site 1,0.7718328069666922
W146,Site 1,0.8403971020025421
W147,Site 1,0.4924658451237832
W148,Site 1,0.17217354750559033
W149,Site 1,0.6213121404411345
W150,Site 1,0.8597503683527691
W151,Site 1,0.9995358152829298
W152,Site 1,0.5592912859329989
W153,Site 1,0.17507270327692048
W154,Site 1,0.4484581538108061
W155,Site 1,0.8096387451745574
W156,Site 1,0.7973042659989039
W157,Site 1,0.8698376912799171
W158,Site 1,0.21143582010030804
W159,Site 1,0.20611589550605391
W160,Site 1,0.9339177749253166
W161,Site 1,0.9534763281503188
W162,Site 1,0.6126188002428073
W163,Site 1,0.6437064874588874
W164,Site 1,0.302204553412466
W165,Site 1,0.17714751102387416
W166,Site 1,0.9403897696583942
W167,Site 1,0.250867262668379
W168,Site 1,0.964233817932334
W169,Site 1,0.5497196675424567
W170,Site 1,0.6115214810026557
W171,Site 1,0.2341820581901749
W172,Site 1,0.9808864538842398
W173,Site 1,0.4470018947917512
W174,Site 1,0.04393568267252468
W175,Site 1,0.4401061282662946
W176,Site 1,0.2828967467596788
W177,Site 1,0.19814815898414884
W178,Site 1,0.4067267793625123
W179,Site 1,0.04451102976961818
W180,Site 1,0.9814786630419672
W181,Site 1,0.6522277451439462
W182,Site 1,0.4918716578429114
W183,Site 1,0.2960930767073537
W184,Site 1,0.2462466329995755
W185,Site 1,0.7068447812988384
W186,Site 1,0.94780901835033
W187,Site 1,0.5518450211615922
W188,Site 1,0.10072326967074784
W189,Site 1,0.20650893703053275
W190,Site 1,0.4698708790162498
W191,Site 1,0.0016166313013712408
W192,Site 1,0.3227274600691611
W193,Site 1,0.516061062709439
W194,Site 1,0.5723920275832448
W195,Site 1,0.4425256917747152
W196,Site 1,0.7068259443528209
W197,Site 1,0.5419767916528696
W198,Site 1,0.8602516762412571
W199,Site 1,0.9667577737767526
W200,Site 1,0.8390448224975654
W201,Site 1,0.8708485444336499
W202,Site 1,0.4113394258234694
W203,Site 1,0.8430232783083982
W204,Site 1,0.8535553583249296
W205,Site 1,0.5893722300849081
W206,Site 1,0.23076007917369826
W207,Site 1,0.5091036608481158
W208,Site 1,0.3952363393411839
W209,Site 1,0.2360615011834976
W210,Site 1,0.7566987308887786
W211,Site 1,0.08604719200793975
W212,Site 1,0.8720740356325156
W213,Site 1,0.6592400147869296
W214,Site 1,0.2398091834206577
W215,Site 1,0.8988608310221907
W216,Site 1,0.0842191194393559
W217,Site 1,0.6004163562835109
W218,Site 1,0.3771689893067566
W219,Site 1,0.8857635650173441
W220,Site 1,0.09390994540476848
W221,Site 1,0.9489566188473848
W222,Site 1,0.3076148187197781
W223,Site 1,0.863906652386167
W224,Site 1,0.5805919291868756
W225,Site 1,0.4195246270739322
W226,Site 1,0.031869259870509266
W227,Site 1,0.9074711844801866
W228,Site 1,0.23889587303888796
W229,Site 1,0.5767723713297972
W230,Site 1,0.8792994336551966
W231,Site 1,0.5249876698570932
W232,Site 1,0.5666385156619511
W233,Site 1,0.6359680679121599
W234,Site 1,0.2503468997732067
W235,Site 1,0.6381267146324681
W236,Site 1,0.91931876766295
W237,Site 1,0.3593940679188239
W238,Site 1,0.6655926554876432
W239,Site 1,0.43084639822006704
W240,Site 1,0.6512547771060547
W241,Site 1,0.4274794004041551
W242,Site 1,0.3723009652806394
W243,Site 1,0.6780095244123991
W244,Site 1,0.3917190563721197
W245,Site 1,0.3885566051045468
W246,Site 1,0.8806836309110629
W247,Site 1,0.9832960549608932
W248,Site 1,0.2539253721954825
W249,Site 1,0.2521773237656443
W250,Site 1,0.04586254609666751
W251,Site 1,0.441464172087308
W252,Site 1,0.5417060097266122
W253,Site 1,0.12894303699762688
W254,Site 1,0.3957190052847008
W255,Site 1,0.5605290207717792
W256,Site 1,0.0792291082806611
W257,Site 1,0.7194360139811197
W258,Site 1,0.5360930890507025
W259,Site 1,0.07504313998743306
W260,Site 1,0.3631101521808
W261,Site 1,0.6173108623113064
W262,Site 1,0.7132546028343021
W263,Site 1,0.9273000708665888
W264,Site 1,0.6599821341074883
W265,Site 1,0.17807620106621025
W266,Site 1,0.08090788232183277
W267,Site 1,0.5989049350526369
W268,Site 1,0.11088150214895387
W269,Site 1,0.4080872882000581
W270,Site 1,0.16173358148431982
W271,Site 1,0.4881108262393854
W272,Site 1,0.2947991783672207
W273,Site 1,0.5881665707078939
W274,Site 1,0.5546411393125901
W275,Site 1,0.8103747668363371
W276,Site 1,0.5631618133978726
W277,Site 1,0.7312299669006891
W278,Site 1,0.6532689773903426
W279,Site 1,0.4669838740308373
W280,Site 1,0.7110709928728453
W281,Site 1,0.9763523049780948
W282,Site 1,0.22139327003699227
W283,Site 1,0.2408761012270417
W284,Site 1,0.25717296282178115
W285,Site 1,0.4272121264336733
W286,Site 1,0.17608437966223256
W287,Site 1,0.044562678673211065
W288,Site 1,0.6798157839751365
W289,Site 1,0.29454396349337497
W290,Site 1,0.15256467645010965
W291,Site 1,0.2448470757510911
W292,Site 1,0.28507571568112755
W293,Site 1,0.5538268544997127
W294,Site 1,0.048669357916808036
W295,Site 1,0.5724924916870592
W296,Site 1,0.51024438840694
W297,Site 1,0.28535258649856043
W298,Site 1,0.2845234037796687
W299,Site 1,0.4239081736857698
W300,Site 2,0.0812662201586749
W301,Site 2,0.2100323746660031
W302,Site 2,0.0699519770724587
W303,Site 2,0.5273510234392319
W304,Site 2,0.5126458891115668
W305,Site 2,0.6942472636014272
W306,Site 2,0.782409607745638
W307,Site 2,0.42539182076000737
W308,Site 2,0.2682346071488051
W309,Site 2,0.4850929841376236
W310,Site 2,0.13874127511668766
W311,Site 2,0.4171060804927143
W312,Site 2,0.4974759263465897
W313,Site 2,0.3093651340232856
W314,Site 2,0.2312352455031238
W315,Site 2,0.3087657801187258
W316,Site 2,0.12883690287497696
W317,Site 2,0.4654081834264853
W318,Site 2,0.8445487911068426
W319,Site 2,0.9197452521557709
W320,Site 2,0.061223060935042824
W321,Site 2,0.976181614046166
W322,Site 2,0.9564999576842184
W323,Site 2,0.3884426593338733
W324,Site 2,0.07939895882706194
W325,Site 2,0.27928377196915
W326,Site 2,0.8457787604498456
W327,Site 2,0.16256768548554246
W328,Site 2,0.8307426777802839
W329,Site 2,0.024987981546346738
W330,Site 2,0.2195340815968525
W331,Site 2,0.7679170065589894
W332,Site 2,0.7999579610694351
W333,Site 2,0.5146548122280273
W334,Site 2,0.4721063733612157
W335,Site 2,0.42988664953853817
W336,Site 2,0.07077892580539002
W337,Site 2,0.2851511179152331
W338,Site 2,0.37356187932314144
W339,Site 2,0.1538875259302629
W340,Site 2,0.13788784523336572
W341,Site 2,0.5172976374685571
W342,Site 2,0.9645950688993252
W343,Site 2,0.6731517561819744
W344,Site 2,0.23854413368736596
W345,Site 2,0.32883359881201124
W346,Site 2,0.9813062604791156
W347,Site 2,0.1463399993161444
W348,Site 2,0.02196051605679994
W349,Site 2,0.5128768400752067
W350,Site 2,0.0914562307183997
W351,Site 2,0.8829343146452369
W352,Site 2,0.2116368961313065
W353,Site 2,0.7148062969025633
W354,Site 2,0.9320620599352214
W355,Site 2,0.7427572159228419
W356,Site 2,0.8191821262056704
W357,Site 2,0.5635692227271905
W358,Site 2,0.2210259107981488
W359,Site 2,0.6316787836137002
W360,Site 2,0.8606349957662347
W361,Site 2,0.2145942797567576
W362,Site 2,0.5577036799467178
W363,Site 2,0.05825390889252036
W364,Site 2,0.4448019023988653
W365,Site 2,0.6568554971366046
W366,Site 2,0.2838893321287149
W367,Site 2,0.9569995682092702
W368,Site 2,0.14539308493149372
W369,Site 2,0.6084746522749266
W370,Site 2,0.6731762715639917
W371,Site 2,0.5268344392167121
W372,Site 2,0.0017292190719334632
W373,Site 2,0.08090253863622521
W374,Site 2,0.9077724370015032
W375,Site 2,0.17160532407608842
W376,Site 2,0.6654891464682517
W377,Site 2,0.2569455504899797
W378,Site 2,0.5265296227879569
W379,Site 2,0.12064013291343822
W380,Site 2,0.027316371122541597
W381,Site 2,0.2802282822532597
W382,Site 2,0.10297892689201016
W383,Site 2,0.045821321514193936
W384,Site 2,0.9601249008054312
W385,Site 2,0.703005061717919
W386,Site 2,0.6918956671285283
W387,Site 2,0.6044535732257638
W388,Site 2,0.14646342456664851
W389,Site 2,0.9583567948282165
W390,Site 2,0.4654845315412776
W391,Site 2,0.8602331987378012
W392,Site 2,0.3566465884133595
W393,Site 2,0.6098173741790133
W394,Site 2,0.9747801169755328
W395,Site 2,0.9007850365648312
W396,Site 2,0.4895310977941452
W397,Site 2,0.2761382986901025
W398,Site 2,0.2117990858583597
W399,Site 2,0.9746040949373698
W400,Site 2,0.3954973102491621
W401,Site 2,0.8268182973610947
W402,Site 2,0.9026327150242788
W403,Site 2,0.2275093134304973
W404,Site 2,0.5095432710221628
W405,Site 2,0.3201029223022396
W406,Site 2,0.9672204441435056
W407,Site 2,0.8133855395535391
W408,Site 2,0.37255520397243735
W409,Site 2,0.4911168175910613
W410,Site 2,0.934616396750386
W411,Site 2,0.4383864341857157
W412,Site 2,0.4917885101447945
W413,Site 2,0.4230397259290709
W414,Site 2,0.4114786485535746
W415,Site 2,0.8563319466377692
W416,Site 2,0.23870849723777496
W417,Site 2,0.8216216843949851
W418,Site 2,0.14303862633893927
W419,Site 2,0.1432166034384441
W420,Site 2,0.2882565014566917
W421,Site 2,0.1658061379290906
W422,Site 2,0.3821516421080104
W423,Site 2,0.11185065295194707
W424,Site 2,0.9795688794342758
W425,Site 2,0.19436224362876675
W426,Site 2,0.5954036735396048
W427,Site 2,0.052900448798406496
W428,Site 2,0.5326754159147155
W429,Site 2,0.24863839864248805
W430,Site 2,0.3004787431749848
W431,Site 2,0.16560531143283266
W432,Site 2,0.09607783155794236
W433,Site 2,0.6358658083213303
W434,Site 2,0.1603025026778544
W435,Site 2,0.7412414496663594
W436,Site 2,0.4227069008212613
W437,Site 2,0.8495211584821741
W438,Site 2,0.09379166826154872
W439,Site 2,0.18962028841207745
W440,Site 2,0.6255240145598296
W441,Site 2,0.2504841839970179
W442,Site 2,0.9566882192043472
W443,Site 2,0.5676684928862499
W444,Site 2,0.026859292033994956
W445,Site 2,0.7718328069666922
W446,Site 2,0.8403971020025421
W447,Site 2,0.4924658451237832
W448,Site 2,0.17217354750559033
W449,Site 2,0.6213121404411345
W450,Site 2,0.8597503683527691
W451,Site 2,0.9995358152829298
W452,Site 2,0.5592912859329989
W453,Site 2,0.17507270327692048
W454,Site 2,0.4484581538108061
W455,Site 2,0.8096387451745574
W456,Site 2,0.7973042659989039
W457,Site 2,0.8698376912799171
W458,Site 2,0.21143582010030804
W459,Site 2,0.20611589550605391
W460,Site 2,0.9339177749253166
W461,Site 2,0.9534763281503188
W462,Site 2,0.6126188002428073
W463,Site 2,0.6437064874588874
W464,Site 2,0.302204553412466
W465,Site 2,0.17714751102387416
W466,Site 2,0.9403897696583942
W467,Site 2,0.250867262668379
W468,Site 2,0.964233817932334
W469,Site 2,0.5497196675424567
W470,Site 2,0.6115214810026557
W471,Site 2,0.2341820581901749
W472,Site 2,0.9808864538842398
W473,Site 2,0.4470018947917512
W474,Site 2,0.04393568267252468
W475,Site 2,0.4401061282662946
W476,Site 2,0.2828967467596788
W477,Site 2,0.19814815898414884
W478,Site 2,0.4067267793625123
W479,Site 2,0.04451102976961818
W480,Site 2,0.9814786630419672
W481,Site 2,0.6522277451439462
W482,Site 2,0.4918716578429114
W483,Site 2,0.2960930767073537
W484,Site 2,0.2462466329995755
W485,Site 2,0.7068447812988384
W486,Site 2,0.94780901835033
W487,Site 2,0.5518450211615922
W488,Site 2,0.10072326967074784
W489,Site 2,0.20650893703053275
W490,Site 2,0.4698708790162498
W491,Site 2,0.0016166313013712408
W492,Site 2,0.3227274600691611
W493,Site 2,0.516061062709439
W494,Site 2,0.5723920275832448
W495,Site 2,0.4425256917747152
W496,Site 2,0.7068259443528209
W497,Site 2,0.5419767916528696
W498,Site 2,0.8602516762412571
W499,Site 2,0.9667577737767526
W500,Site 2,0.8390448224975654
W501,Site 2,0.8708485444336499
W502,Site 2,0.4113394258234694
W503,Site 2,0.8430232783083982
W504,Site 2,0.8535553583249296
W505,Site 2,0.5893722300849081
W506,Site 2,0.23076007917369826
W507,Site 2,0.5091036608481158
W508,Site 2,0.3952363393411839
W509,Site 2,0.2360615011834976
W510,Site 2,0.7566987308887786
W511,Site 2,0.08604719200793975
W512,Site 2,0.8720740356325156
W513,Site 2,0.6592400147869296
W514,Site 2,0.2398091834206577
W515,Site 2,0.8988608310221907
W516,Site 2,0.0842191194393559
W517,Site 2,0.6004163562835109
W518,Site 2,0.3771689893067566
W519,Site 2,0.8857635650173441
W520,Site 2,0.09390994540476848
W521,Site 2,0.9489566188473848
W522,Site 2,0.3076148187197781
W523,Site 2,0.863906652386167
W524,Site 2,0.5805919291868756
W525,Site 2,0.4195246270739322
W526,Site 2,0.031869259870509266
W527,Site 2,0.9074711844801866
W528,Site 2,0.23889587303888796
W529,Site 2,0.5767723713297972
W530,Site 2,0.8792994336551966
W531,Site 2,0.5249876698570932
W532,Site 2,0.5666385156619511
W533,Site 2,0.6359680679121599
W534,Site 2,0.2503468997732067
W535,Site 2,0.6381267146324681
W536,Site 2,0.91931876766295
W537,Site 2,0.3593940679188239
W538,Site 2,0.6655926554876432
W539,Site 2,0.43084639822006704
W540,Site 2,0.6512547771060547
W541,Site 2,0.4274794004041551
W542,Site 2,0.3723009652806394
W543,Site 2,0.6780095244123991
W544,Site 2,0.3917190563721197
W545,Site 2,0.3885566051045468
W546,Site 2,0.8806836309110629
W547,Site 2,0.9832960549608932
W548,Site 2,0.2539253721954825
W549,Site 2,0.2521773237656443
W550,Site 2,0.04586254609666751
W551,Site 2,0.441464172087308
W552,Site 2,0.5417060097266122
W553,Site 2,0.12894303699762688
W554,Site 2,0.3957190052847008
W555,Site 2,0.5605290207717792
W556,Site 2,0.0792291082806611
W557,Site 2,0.7194360139811197
W558,Site 2,0.5360930890507025
W559,Site 2,0.07504313998743306
W560,Site 2,0.3631101521808
W561,Site 2,0.6173108623113064
W562,Site 2,0.7132546028343021
W563,Site 2,0.9273000708665888
W564,Site 2,0.6599821341074883
W565,Site 2,0.17807620106621025
W566,Site 2,0.08090788232183277
W567,Site 2,0.5989049350526369
W568,Site 2,0.11088150214895387
W569,Site 2,0.4080872882000581
W570,Site 2,0.16173358148431982
W571,Site 2,0.4881108262393854
W572,Site 2,0.2947991783672207
W573,Site 2,0.5881665707078939
W574,Site 2,0.5546411393125901
W575,Site 2,0.8103747668363371
W576,Site 2,0.5631618133978726
W577,Site 2,0.7312299669006891
W578,Site 2,0.6532689773903426
W579,Site 2,0.4669838740308373
W580,Site 2,0.7110709928728453
W581,Site 2,0.9763523049780948
W582,Site 2,0.22139327003699227
W583,Site 2,0.2408761012270417
W584,Site 2,0.25717296282178115
W585,Site 2,0.4272121264336733
W586,Site 2,0.17608437966223256
W587,Site 2,0.044562678673211065
W588,Site 2,0.6798157839751365
W589,Site 2,0.29454396349337497
W590,Site 2,0.15256467645010965
W591,Site 2,0.2448470757510911
W592,Site 2,0.28507571568112755
W593,Site 2,0.5538268544997127
W594,Site 2,0.048669357916808036
W595,Site 2,0.5724924916870592
W596,Site 2,0.51024438840694
W597,Site 2,0.28535258649856043
W598,Site 2,0.2845234037796687
W599,Site 2,0.4239081736857698
W600,Site 3,0.0812662201586749
W601,Site 3,0.2100323746660031
W602,Site 3,0.0699519770724587
W603,Site 3,0.5273510234392319
W604,Site 3,0.5126458891115668
W605,Site 3,0.6942472636014272
W606,Site 3,0.782409607745638
W607,Site 3,0.42539182076000737
W608,Site 3,0.2682346071488051
W609,Site 3,0.4850929841376236
W610,Site 3,0.13874127511668766
W611,Site 3,0.4171060804927143
W612,Site 3,0.4974759263465897
W613,Site 3,0.3093651340232856
W614,Site 3,0.2312352455031238
W615,Site 3,0.3087657801187258
W616,Site 3,0.12883690287497696
W617,Site 3,0.4654081834264853
W618,Site 3,0.8445487911068426
W619,Site 3,0.9197452521557709
W620,Site 3,0.061223060935042824
W621,Site 3,0.976181614046166
W622,Site 3,0.9564999576842184
W623,Site 3,0.3884426593338733
W624,Site 3,0.07939895882706194
W625,Site 3,0.27928377196915
W626,Site 3,0.8457787604498456
W627,Site 3,0.16256768548554246
W628,Site 3,0.8307426777802839
W629,Site 3,0.024987981546346738
W630,Site 3,0.2195340815968525
W631,Site 3,0.7679170065589894
W632,Site 3,0.7999579610694351
W633,Site 3,0.5146548122280273
W634,Site 3,0.4721063733612157
W635,Site 3,0.42988664953853817
W636,Site 3,0.07077892580539002
W637,Site 3,0.2851511179152331
W638,Site 3,0.37356187932314144
W639,Site 3,0.1538875259302629
W640,Site 3,0.13788784523336572
W641,Site 3,0.5172976374685571
W642,Site 3,0.9645950688993252
W643,Site 3,0.6731517561819744
W644,Site 3,0.23854413368736596
W645,Site 3,0.32883359881201124
W646,Site 3,0.9813062604791156
W647,Site 3,0.1463399993161444
W648,Site 3,0.02196051605679994
W649,Site 3,0.5128768400752067
W650,Site 3,0.0914562307183997
W651,Site 3,0.8829343146452369
W652,Site 3,0.2116368961313065
W653,Site 3,0.7148062969025633
W654,Site 3,0.9320620599352214
W655,Site 3,0.7427572159228419
W656,Site 3,0.8191821262056704
W657,Site 3,0.5635692227271905
W658,Site 3,0.2210259107981488
W659,Site 3,0.6316787836137002
W660,Site 3,0.8606349957662347
W661,Site 3,0.2145942797567576
W662,Site 3,0.5577036799467178
W663,Site 3,0.05825390889252036
W664,Site 3,0.4448019023988653
W665,Site 3,0.6568554971366046
W666,Site 3,0.2838893321287149
W667,Site 3,0.9569995682092702
W668,Site 3,0.14539308493149372
W669,Site 3,0.6084746522749266
W670,Site 3,0.6731762715639917
W671,Site 3,0.5268344392167121
W672,Site 3,0.0017292190719334632
W673,Site 3,0.08090253863622521
W674,Site 3,0.9077724370015032
W675,Site 3,0.17160532407608842
W676,Site 3,0.6654891464682517
W677,Site 3,0.2569455504899797
W678,Site 3,0.5265296227879569
W679,Site 3,0.12064013291343822
W680,Site 3,0.027316371122541597
W681,Site 3,0.2802282822532597
W682,Site 3,0.10297892689201016
W683,Site 3,0.045821321514193936
W684,Site 3,0.9601249008054312
W685,Site 3,0.703005061717919
W686,Site 3,0.6918956671285283
W687,Site 3,0.6044535732257638
W688,Site 3,0.14646342456664851
W689,Site 3,0.9583567948282165
W690,Site 3,0.4654845315412776
W691,Site 3,0.8602331987378012
W692,Site 3,0.3566465884133595
W693,Site 3,0.6098173741790133
W694,Site 3,0.9747801169755328
W695,Site 3,0.9007850365648312
W696,Site 3,0.4895310977941452
W697,Site 3,0.2761382986901025
W698,Site 3,0.2117990858583597
W699,Site 3,0.9746040949373698
W700,Site 3,0.3954973102491621
W701,Site 3,0.8268182973610947
W702,Site 3,0.9026327150242788
W703,Site 3,0.2275093134304973
W704,Site 3,0.5095432710221628
W705,Site 3,0.3201029223022396
W706,Site 3,0.9672204441435056
W707,Site 3,0.8133855395535391
W708,Site 3,0.37255520397243735
W709,Site 3,0.4911168175910613
W710,Site 3,0.934616396750386
W711,Site 3,0.4383864341857157
W712,Site 3,0.4917885101447945
W713,Site 3,0.4230397259290709
W714,Site 3,0.4114786485535746
W715,Site 3,0.8563319466377692
W716,Site 3,0.23870849723777496
W717,Site 3,0.8216216843949851
W718,Site 3,0.14303862633893927
W719,Site 3,0.1432166034384441
W720,Site 3,0.2882565014566917
W721,Site 3,0.1658061379290906
W722,Site 3,0.3821516421080104
W723,Site 3,0.11185065295194707
W724,Site 3,0.9795688794342758
W725,Site 3,0.19436224362876675
W726,Site 3,0.5954036735396048
W727,Site 3,0.052900448798406496
W728,Site 3,0.5326754159147155
W729,Site 3,0.24863839864248805
W730,Site 3,0.3004787431749848
W731,Site 3,0.16560531143283266
W732,Site 3,0.09607783155794236
W733,Site 3,0.6358658083213303
W734,Site 3,0.1603025026778544
W735,Site 3,0.7412414496663594
W736,Site 3,0.4227069008212613
W737,Site 3,0.8495211584821741
W738,Site 3,0.09379166826154872
W739,Site 3,0.18962028841207745
W740,Site 3,0.6255240145598296
W741,Site 3,0.2504841839970179
W742,Site 3,0.9566882192043472
W743,Site 3,0.5676684928862499
W744,Site 3,0.026859292033994956
W745,Site 3,0.7718328069666922
W746,Site 3,0.8403971020025421
W747,Site 3,0.4924658451237832
W748,Site 3,0.17217354750559033
W749,Site 3,0.6213121404411345
W750,Site 3,0.8597503683527691
W751,Site 3,0.9995358152829298
W752,Site 3,0.5592912859329989
W753,Site 3,0.17507270327692048
W754,Site 3,0.4484581538108061
W755,Site 3,0.8096387451745574
W756,Site 3,0.7973042659989039
W757,Site 3,0.8698376912799171
W758,Site 3,0.21143582010030804
W759,Site 3,0.20611589550605391
W760,Site 3,0.9339177749253166
W761,Site 3,0.9534763281503188
W762,Site 3,0.6126188002428073
W763,Site 3,0.6437064874588874
W764,Site 3,0.302204553412466
W765,Site 3,0.17714751102387416
W766,Site 3,0.9403897696583942
W767,Site 3,0.250867262668379
W768,Site 3,0.964233817932334
W769,Site 3,0.5497196675424567
W770,Site 3,0.6115214810026557
W771,Site 3,0.2341820581901749
W772,Site 3,0.9808864538842398
W773,Site 3,0.4470018947917512
W774,Site 3,0.04393568267252468
W775,Site 3,0.4401061282662946
W776,Site 3,0.2828967467596788
W777,Site 3,0.19814815898414884
W778,Site 3,0.4067267793625123
W779,Site 3,0.04451102976961818
W780,Site 3,0.9814786630419672
W781,Site 3,0.6522277451439462
W782,Site 3,0.4918716578429114
W783,Site 3,0.2960930767073537
W784,Site 3,0.2462466329995755
W785,Site 3,0.7068447812988384
W786,Site 3,0.94780901835033
W787,Site 3,0.5518450211615922
W788,Site 3,0.10072326967074784
W789,Site 3,0.20650893703053275
W790,Site 3,0.4698708790162498
W791,Site 3,0.0016166313013712408
W792,Site 3,0.3227274600691611
W793,Site 3,0.516061062709439
W794,Site 3,0.5723920275832448
W795,Site 3,0.4425256917747152
W796,Site 3,0.7068259443528209
W797,Site 3,0.5419767916528696
W798,Site 3,0.8602516762412571
W799,Site 3,0.9667577737767526
W800,Site 3,0.8390448224975654
W801,Site 3,0.8708485444336499
W802,Site 3,0.4113394258234694
W803,Site 3,0.8430232783083982
W804,Site 3,0.8535553583249296
W805,Site 3,0.5893722300849081
W806,Site 3,0.23076007917369826
W807,Site 3,0.5091036608481158
W808,Site 3,0.3952363393411839
W809,Site 3,0.2360615011834976
W810,Site 3,0.7566987308887786
W811,Site 3,0.08604719200793975
W812,Site 3,0.8720740356325156
W813,Site 3,0.6592400147869296
W814,Site 3,0.2398091834206577
W815,Site 3,0.8988608310221907
W816,Site 3,0.0842191194393559
W817,Site 3,0.6004163562835109
W818,Site 3,0.3771689893067566
W819,Site 3,0.8857635650173441
W820,Site 3,0.09390994540476848
W821,Site 3,0.9489566188473848
W822,Site 3,0.3076148187197781
W823,Site 3,0.863906652386167
